MYSQL = PostgreSQL = ANSI SQL(Standard SQL)| PostgreSQL NAME,MYSQL,Link of Questions
same as MYSQL,"CONCAT(firstcolumn,secondcolumn)",Fix Names in a Table(Leetcode 1667)
same as MYSQL,UPPER(columnname),Fix Names in a Table(Leetcode 1667)
same as MYSQL,"SUBSTRING(columnname,start,no.ofcharacter)",Fix Names in a Table(Leetcode 1667)
POSITION(),"INSTR(columnname,'that character')",easysql.txt-(s)
same as MYSQL,"REPLACE(columnname,'a character','another character')",easysql.txt-(z-1)
same as MYSQL,LIKE  thatcharacter% ,easysql.txt-(y)
same as MYSQL,LIKE   %thatcharacter,easysql.txt-(y)
same as MYSQL,NOT LIKE  thatcharacter% ,easysql.txt-(z)
same as MYSQL,NOT LIKE  %thatcharacter,easysql.txt-(z)
same as MYSQL,LENGTH(columnname),Invalid tweet(Leetcode 1683)
columnname%2 <> 0 (columnname%2 !=0),columnname%2=0 || columnname%2 !=0,Find Customer Refree(Leetcode 584)
same as MYSQL,DISTINCT + GROUP BY,Percentage of User Attended a Contest(Leetcode 1633)
same as MYSQL,BETWEEN A AND B SAME WORK AS (>=A AND <=B),easysql.txt-(h)
same as MYSQL,"ROUND(AVG(salary),2)",Project Employees 1(Leetcode 1075)
CEILING(),CEIL(4.1),easysql.txt-(z-1)
TRUNC(),TRUNCATE(4.9),easysql.txt-(z-2)
same as MYSQL,IS NULL,easysql.txt-(f)
same as MYSQL,IS NOT NULL,easysql.txt-(p)
same as MYSQL,"IN ('IT','HR','Finance')",Investments in 2016(Leetcode 585)
same as MYSQL,"NOT IN ('IT','HR','Finance')",
same as MYSQL,    =(equal),easysql.txt-(v)
same as MYSQL,Floor(),easysql.txt-(g)
COALESCE(),IFNULL(),Average Selling Price (Leetcode 1251)/Product Price at Given Date (Leetcode 1164)
same as MYSQL,UNION/UNIONALL,Primary Department for Each Employee (Leetcode 1789)/Movie Rating (Leetcode 1341)/Friend Request (Leetcode 602)/Count Salary Categories(Leetcode 1907)
same as MYSQL,NOW(),easysql.txt-(z-4)
CURRENT_DATE/CURRENT_TIME,CURDATE()/CURTIME(),easysql.txt-(z-3)
date + INTERVAL '5days',"DATE_ADD(date,INTERVAL 5 DAYS) ",easysql.txt-(z-5)
date -INTERVAL '5days',"DATE_SUB(date,INTERVAL 5 DAYS) ",easysql.txt-(z-6)
date1-date2,DATEDIFF(),Rising Temperature (Leetcode 197)
EXTRACT(),TIMESTAMPDIFF(),easysql.txt-(z-7)
TO_CHAR() + CASE STATEMENT,DATE_FORMAT() + CASE STATEMENT,Monthly Transaction 1 (Leetcode 1193)
same as MYSQL,INNER JOIN,Product Sales Analysis 1(Leetcode 1068)
same as MYSQL,LEFT JOIN,Customer who visited but did not make any transaction(Leetcode 1581)
same as MYSQL,SELF JOIN with LEFT JOIN,
same as MYSQL,SELF JOIN with INNER JOIN,Average Time of Process per Machine (Leetcode 1661)
same as MYSQL,CROSS JOIN,Students and Examinations (Leetcode 1280)
same as MYSQL,ROW_NUMBER(),Delete Duplicate Email (Leetcode 196)
same as MYSQL,RANK(),
same as MYSQL,DENSE_RANK(),"Department Top 3 salaries(Leetcode 185),Second Highest Salary(Leetcode 176)"
same as MYSQL,LEAD(),
same as MYSQL,LAG(),Consecutive Numbers (Leetcode 180)
same as MYSQL,SUM() OVER(),Last Person to Fit in the Bus(Leetcode 1204)
STRING_AGG(),GROUP_CONCAT,Groups sold product by dates(Leetcode 1484)
same as MYSQL,Subquery,Second Highest Salary(Leetcode 176)
same as MYSQL,LIMIT and OFFSET,Second Highest Salary(Leetcode 176)
